authority,station_name,longitude,latitude,time,flood_depth_cm
花蓮縣政府水利科,南濱抽水站,121.611374,23.969269,2025-11-10T13:01:58Z,3.249490737915
花蓮縣政府水利科,南濱抽水站,121.611374,23.969269,2025-11-10T13:01:58Z,-1.800155878067
花蓮縣政府水利科,南濱抽水站,121.611374,23.969269,2025-11-10T13:01:58Z,-0.022495629265904
第四河川分署,員林南潭路1巷淹水監控站,120.5603,23.9614,2025-11-10T13:10:00Z,0.0
第一河川分署,XZ02,121.761,24.7189,2025-11-10T13:10:04Z,96.0
台中市政府水利局,太平區正光街,120.73408,24.106462,2025-11-10T13:27:00Z,0.0
台中市政府水利局,太平區宜祥街13巷7弄21號*#,120.71316,24.136871,2025-11-10T13:53:00Z,0.0
台中市政府水利局,西屯區西林巷60之1號,120.63409,24.199375,2025-11-10T13:39:00Z,0.0
臺南市政府水利局,鯽潭橋,120.25044,22.991083,2025-11-10T13:10:00Z,2.6
嘉義縣政府水利處,嘉義縣-061,120.2103,23.4542,2025-11-10T13:02:38Z,0.0
嘉義縣政府水利處,嘉義縣-061,120.2103,23.4542,2025-11-10T13:02:38Z,0.0
新北市政府水利局(智慧防汛),永和區福和國中,121.51977,25.00466,2025-11-10T13:05:00Z,0.0
嘉義縣政府水利處,嘉義縣-118,120.1877,23.3397,2025-11-10T13:01:55Z,0.0
嘉義縣政府水利處,嘉義縣-118,120.1877,23.3397,2025-11-10T13:01:55Z,0.0
農田水利署高雄管理處,新園抽水站閘門監控站,120.30346,22.872837,2025-11-10T13:02:03Z,1.0809999704361
農田水利署高雄管理處,新園抽水站閘門監控站,120.30346,22.872837,2025-11-10T13:02:03Z,0.17400005459785
桃園巿政府水務局(智慧防汛),豐德路89巷,121.292366,24.92481,2025-11-10T13:05:00Z,0.0
水利署水文技術組,繁華(1),120.57226,22.703325,2025-11-10T13:10:00Z,39.756
嘉義縣政府水利處,CYC083 溪口鄉游西村,120.38982,23.61624,2025-11-10T13:28:14Z,0.0
宜蘭縣政府水利資源處,蘇澳鎮區界西路,121.82696,24.647745,2025-11-10T13:04:00Z,0.0
桃園巿政府水務局(智慧防汛),永福街56巷21號,121.301544,24.962416,2025-11-10T13:05:00Z,0.0
基隆市政府水利科,基隆市-03,121.74666,25.099466,2025-11-10T13:10:00Z,0.0
水利署水文技術組,吳全(1),121.547844,23.886715,2025-11-10T13:10:00Z,22.405
桃園巿政府水務局(智慧防汛),龍岡路一段197號,121.225365,24.947811,2025-11-10T13:05:00Z,0.0
第七河川分署,高屏溪(美濃溪)廣福2+970水門_內水位計,120.50489,22.868305,2025-11-10T13:05:00Z,38.065
水利署水文技術組,通霄(2),120.67513,24.491997,2025-11-10T13:10:00Z,2.482
桃園巿政府水務局(智慧防汛),培英南園二路口,121.22445,24.971622,2025-11-10T13:02:02Z,0.38
桃園巿政府水務局(智慧防汛),培英南園二路口,121.22445,24.971622,2025-11-10T13:04:02Z,6.0
台中市政府水利局,烏日區學田路342號旁灌溉溝渠,120.60795,24.11817,2025-11-10T13:35:00Z,0.0
台中市政府水利局,東區東成路‧大智路(加油站),120.690094,24.131878,2025-11-10T13:48:00Z,0.0
台中市政府水利局,東區東成路‧大智路(加油站),120.690094,24.131878,2025-11-10T13:48:00Z,0.0
雲林縣政府水利處,馬公厝排水五,120.29029,23.69694,2025-11-10T13:01:23Z,14.626958847046
雲林縣政府水利處,馬公厝排水五,120.29029,23.69694,2025-11-10T13:02:03Z,2.8999667167664
台中市政府水利局,外埔區外埔路‧中山路,120.65577,24.333017,2025-11-10T13:58:00Z,0.0
基隆市政府水利科,七堵區六堵里工建路26號,121.702065,25.088837,2025-11-10T13:27:00Z,0.0
嘉義縣政府水利處,CYC019 布袋鎮新岑里郭岑寮,120.17245,23.34241,2025-11-10T13:14:27Z,0.0
第七河川分署,東港溪竹田護岸1no.1k+575水門(1~4),120.53046,22.566704,2025-11-10T13:07:01Z,100.0
第七河川分署,東港溪竹田護岸1no.1k+575水門(1~4),120.53046,22.566704,2025-11-10T13:07:01Z,100.0
第七河川分署,東港溪竹田護岸1no.1k+575水門(1~4),120.53046,22.566704,2025-11-10T13:07:01Z,100.0
第七河川分署,東港溪竹田護岸1no.1k+575水門(1~4),120.53046,22.566704,2025-11-10T13:07:01Z,100.0
新竹市政府消防局,振興地下道,120.960785,24.796154,2025-11-10T13:59:00Z,0.0
水利署水文技術組,鹽埕(2),120.28272,22.622145,2025-11-10T13:10:00Z,0.878
雲林縣政府水利處,港東村_三民路,120.14914,23.57767,2025-11-10T13:00:42Z,0.0
雲林縣政府水利處,港東村_三民路,120.14914,23.57767,2025-11-10T13:00:42Z,-61.0
雲林縣政府水利處,港東村_三民路,120.14914,23.57767,2025-11-10T13:00:42Z,13.607556343079
嘉義縣政府水利處,嘉義縣-112,120.2818,23.4552,2025-11-10T13:02:07Z,0.0
嘉義縣政府水利處,嘉義縣-112,120.2818,23.4552,2025-11-10T13:02:07Z,0.0
嘉義縣政府水利處,CYC067 六腳鄉六斗村,120.3033,23.54142,2025-11-10T13:28:38Z,0.0
台中市政府水利局,潭子區崇德路五段與雅潭路二段路口,120.68856,24.216133,2025-11-10T13:02:00Z,0.0
新北市政府水利局(智慧防汛),永和區林森路65號,121.52429,25.004383,2025-11-10T13:35:00Z,0.0
台中市政府水利局,烏日區溪南路一段460巷262號,120.63944,24.083466,2025-11-10T13:53:00Z,0.0
水利署水文技術組,新東(1),120.31555,23.344215,2025-11-10T13:10:00Z,10.914
嘉義縣政府水利處,嘉義縣-078,120.1559,23.3746,2025-11-10T13:11:29Z,0.0
嘉義縣政府水利處,嘉義縣-078,120.1559,23.3746,2025-11-10T13:11:29Z,0.0
